orderId,oldCentre,newCentre
01HJ692MNS6SG7BT4NWTB2PKDW,ACCRA,KINTAMPO
01HJ69AXJ2AA8NQNCDBAAVJH2H,BOLGATANGA,KINTAMPO
01HJ69JT24QPS0D75VHPMMWS55,TEMA,KINTAMPO
01HJ6ADB0SD45T19CV19WB5J9X,ACCRA,KINTAMPO
01HJ65AMSZBPYX12WW281CSMX3,TEMA,KINTAMPO
01HJ6APYWN6P8B8DSQJVV3RVQR,KOFORIDUA,KINTAMPO
01HJ6B08NEPYH55K6AHN3MCDCB,ACCRA,KINTAMPO
01HJ6BE7Q8WG3C3P77N242SV4G,KOFORIDUA,KINTAMPO
01HJ6BHSM2XFG5BR270MCRJHAN,ACCRA,KINTAMPO
01HJ6BRMBQTT95H43JBP4P4K0D,ACCRA,KINTAMPO
01HJ6BTET2QZJS8AKEJK7H4CXV,ACCRA,KINTAMPO
01HJ6CE548XNATMZ9TQKAMYTS1,TEMA,KINTAMPO
01HJ6CGXYNA5BPN9X25VK0QNGE,KOFORIDUA,KINTAMPO
01HJ6CNBT257K576GZ3A3HJGNQ,TEMA,KINTAMPO
01GQHRM5W03Q9KR1R2K0YBDFP8,BOLGATANGA,KINTAMPO
01HJ65GJPEFCA8PRJQ5YNA10HB,TEMA,KINTAMPO
01HJ655134E8NKGYH41X9EJ92G,KOFORIDUA,KINTAMPO
01HJ8W4DGGJZY2YYRSQJKQA61M,ACCRA,KINTAMPO
01HJ40DX7H8ETN0RKA2P1AM7WD,KOFORIDUA,KINTAMPO
01HJ3VB0BB3T99Q9C5HMYKK21B,ACCRA,KINTAMPO
01HJ3VPQP646S88TR40ABTVNKB,KINTAMPO,KINTAMPO
01HJ3W68E1P10XG55NE3GFBEYG,KOFORIDUA,KINTAMPO
01HJ3X6BQR8GT4BD3RCQDFFSC4,ACCRA,KINTAMPO
01HJ3X9310SW7C6YHA974S9TV5,ACCRA,KINTAMPO
01HJ3YA95EC6KW04FPMT4R11FP,KOFORIDUA,KINTAMPO
01HJ3YBVFCKBXD5C5XGZFQDB8Z,TEMA,KINTAMPO
01HJ3ZEVX2WY6KQH65EPZQVT24,ACCRA,KINTAMPO
